student_id,attendance_rate,quiz_average,assignment_rate,mobile_engagement,financial_aid,dropped_out
sdv-id-cKMMpt,94.6,16.3,84.9,0,1,1
sdv-id-dZxWnc,100.0,5.3,80.1,1,1,0
sdv-id-nrXLvW,65.3,21.8,78.4,0,0,0
sdv-id-JsrFRU,100.0,65.8,30.6,1,0,0
sdv-id-aziUCU,72.4,40.5,68.5,1,1,0
sdv-id-OwNqTi,100.0,73.9,83.9,2,0,1
sdv-id-pbySkX,91.0,44.1,78.1,0,1,0
sdv-id-ULfhda,72.2,100.0,30.6,1,0,0
sdv-id-CXLcrE,84.0,46.6,73.6,0,1,1
sdv-id-CndlWv,100.0,52.0,47.1,1,0,0
sdv-id-XAtrGk,50.7,35.5,60.4,1,0,1
sdv-id-doUDFx,91.9,58.7,83.3,0,0,0
sdv-id-LVspEB,82.8,90.9,42.3,0,0,0
sdv-id-YCOfQs,100.0,51.7,88.5,1,1,0
sdv-id-EMSTYM,95.5,12.1,81.1,0,0,0
sdv-id-sjcbag,68.8,61.5,30.8,2,0,0
sdv-id-LXCBVY,77.2,6.9,30.6,1,0,1
sdv-id-KmKDHa,78.2,54.8,65.5,2,1,1
sdv-id-laHIyZ,61.2,71.1,32.2,2,1,1
sdv-id-onrxlS,98.6,50.9,88.9,0,0,0
sdv-id-WZZFzU,99.1,35.9,80.4,0,0,0
sdv-id-AlAwwC,96.5,24.4,77.3,1,0,1
sdv-id-PdyxKD,96.6,30.1,53.5,0,0,0
sdv-id-dKHvmc,100.0,36.4,62.0,0,1,0
sdv-id-CKTjBC,78.0,69.6,100.0,2,0,0
sdv-id-FbypKt,56.2,95.7,68.2,1,0,0
sdv-id-WuDicT,47.1,81.3,68.4,1,0,0
sdv-id-DdpXUV,100.0,31.0,78.9,2,0,0
sdv-id-PrWbkD,100.0,79.0,91.6,1,0,1
sdv-id-IzmZoK,80.6,83.9,55.3,1,1,0
sdv-id-QvMznc,97.7,16.9,58.7,1,0,0
sdv-id-tgKaDJ,100.0,36.8,30.6,0,0,0
sdv-id-lDmGOZ,100.0,80.6,51.1,0,0,0
sdv-id-TbKQPZ,100.0,22.4,71.7,1,0,0
sdv-id-VXvxiP,67.1,39.6,86.7,2,0,1
sdv-id-DAhAmP,99.8,63.7,32.1,1,1,0
sdv-id-ebIacs,66.3,84.2,83.2,2,1,0
sdv-id-tIYCRI,100.0,100.0,74.3,1,0,0
sdv-id-xhPsMn,98.3,49.8,67.5,1,0,0
sdv-id-cRYBAK,77.6,53.8,92.2,0,1,0
sdv-id-VCivJc,80.3,61.1,67.1,2,1,0
sdv-id-ORcBeW,70.0,11.4,50.7,0,1,0
sdv-id-jARjQr,81.4,80.3,67.1,2,1,1
sdv-id-mqEHHo,100.0,3.2,79.6,1,0,0
sdv-id-lnAlfd,100.0,33.0,76.5,0,0,1
sdv-id-AYoafn,93.3,57.5,85.7,1,0,0
sdv-id-IYdzzk,100.0,66.2,49.4,1,1,0
sdv-id-RUSqKP,99.5,41.3,44.9,1,0,1
